# THALASSA - STATISTICS                                                                                                                                                                                                             
#===================================================================================================================================================================================================================================
#    CALLS      STEPS                    TOL               CPUT [s]                    MJD               SMA [km]                ECC [-]              INC [deg]             RAAN [deg]              AOP [deg]               MA [deg]
    655505     320688  1.000000000000000E-13  7.841000000000000E+00  5.780858481130004E+04  1.226812652777858E+04  4.098501333882238E-03  1.097971755931852E+02  9.431893979115041E+01  3.187939906026759E+02  2.784624333771625E+02
    613376     301690  1.000000000000000E-13  6.244000000000000E+00  5.780858481130005E+04  1.226812678844439E+04  4.098513983212321E-03  1.097971754095455E+02  9.431893921798314E+01  3.187937645300727E+02  2.784612290873405E+02
    613034     301597  1.000000000000000E-13  7.196000000000000E+00  5.780858481130004E+04  1.226812675345381E+04  4.098512194623921E-03  1.097971754252982E+02  9.431893925324250E+01  3.187938001828031E+02  2.784613703944077E+02
    647512     318874  1.000000000000000E-13  6.732000000000000E+00  5.780858481130004E+04  1.226812664407236E+04  4.098507211373534E-03  1.097971755079948E+02  9.431893952410303E+01  3.187938848448488E+02  2.784618786675603E+02
    649988     319904  1.000000000000000E-13  7.147000000000000E+00  5.780858481130004E+04  1.226812662862942E+04  4.098506723038984E-03  1.097971755142747E+02  9.431893954672819E+01  3.187938967180610E+02  2.784619420870337E+02
   1772863     868066  1.000000000000000E-13  2.137800000000000E+01  5.990123158321017E+04  1.227143620883117E+04  4.001008816890641E-03  1.099540963827025E+02  9.310168360904235E+01  2.197006933394736E+02  2.840434631097962E+02
   1843202     900599  1.000000000000000E-13  2.103700000000000E+01  5.917151378501020E+04  1.227043952194306E+04  4.833891142441489E-03  1.097487095895003E+02  2.003412417385978E+02  2.193686488076768E+01  1.148730777862276E+02
   6670212    3262304  1.000000000000000E-13  8.220099999999999E+01  5.927651643049018E+04  1.226965022263856E+04  4.332788882974681E-03  1.098784175846059E+02  2.409548661648453E+02  9.219935071842807E+00  3.037943207848016E+02
   3809251    1864101  1.000000000000000E-13  4.328200000000000E+01  5.935222798810017E+04  1.227031634751302E+04  4.467354940433398E-03  1.097620414467608E+02  2.603195688549201E+02  3.416941202256712E+02  1.545662488537163E+02
     72897      35235  1.000000000000000E-13  1.219000000000000E+00  5.747358481130004E+04  1.226807209481970E+04  4.818435201791558E-03  1.098225330866714E+02  3.398099029826203E+02  2.460941024263054E+01  9.760039833198653E+01
     81829      39584  1.000000000000000E-13  1.287000000000000E+00  5.747758481130004E+04  1.227047830756449E+04  4.502829708558932E-03  1.098188728530522E+02  3.411782252362810E+02  2.773353409376725E+01  2.903601199199620E+02
    668920     327037  1.000000000000000E-13  8.625999999999999E+00  5.926823158321017E+04  1.227419070576922E+04  4.648018657285934E-03  1.099150826227999E+02  2.351900742241414E+02  6.324816989446922E+00  9.111207137439001E+00
    668920     327037  1.000000000000000E-13  9.242000000000001E+00  5.926823158321017E+04  1.227419070576922E+04  4.648018657285934E-03  1.099150826227999E+02  2.351900742241414E+02  6.324816989446922E+00  9.111207137439001E+00
    616303     302149  1.000000000000000E-13  7.623000000000000E+00  5.759222798810015E+04  1.227482958588879E+04  4.625350489741201E-03  1.097536557451196E+02  1.996718835746585E+01  2.220904085096060E+00  3.538549950183091E+02
    675319     329976  1.000000000000000E-13  8.362000000000000E+00  5.050599027328985E+04  1.227174047077636E+04  4.807430814650598E-03  1.098428167451784E+02  1.134197626589930E+02  7.608993580701735E+01  2.499535984982344E+02
    614514     301543  1.000000000000000E-13  7.757000000000000E+00  5.759222798810015E+04  1.227482958604937E+04  4.625350547653243E-03  1.097536557404884E+02  1.996718834580043E+01  2.220904770741329E+00  3.538549848249994E+02
    675893     330382  1.000000000000000E-13  8.486000000000001E+00  5.050599027328985E+04  1.227174046472370E+04  4.807431027277881E-03  1.098428167502580E+02  1.134197626449753E+02  7.608994258433977E+01  2.499535508564000E+02
    614514     301543  1.000000000000000E-13  8.525000000000000E+00  5.759222798810015E+04  1.227482958604937E+04  4.625350547653243E-03  1.097536557404884E+02  1.996718834580043E+01  2.220904770741329E+00  3.538549848249994E+02
   3257721    1594798  1.000000000000000E-13  4.018700000000000E+01  5.905722798810017E+04  1.227476272243488E+04  4.679925195713848E-03  1.097331248920098E+02  1.597192582512920E+02  4.431737691418949E+01  1.373044210737389E+02
